iosKey	en	fr	pl	section
History	History	Historique	Historia	Tabs
Linked Grand Shooting categories no longer exist	Linked Grand Shooting categories no longer exist	Catégories Grand Shooting introuvables	Powiązane kategorie Grand Shooting już nie istnieją	Tabs
Measures	Measures	Mesures	Pomiary	Tabs
Photo	Photo	Photo	Zdjęcie	Tabs
Scan	Scan	Scanner	Skanuj	Tabs
Settings	Settings	Paramètres	Ustawienia	Tabs
Couldn't reach the mobile backend. Check connectivity.	Couldn't reach the mobile backend. Check connectivity.	Impossible de joindre le backend mobile. Vérifiez la connectivité.	Nie można połączyć się z mobilnym backendem. Sprawdź połączenie.	Login
GS Mobile	GS Mobile	GS Mobile	GS Mobile	Login
OAuth callback didn't include a session id.	OAuth callback didn't include a session id.	Le retour OAuth n'a pas fourni d'identifiant de session.	Odpowiedź OAuth nie zawierała identyfikatora sesji.	Login
Sign in to start scanning	Sign in to start scanning	Connectez-vous pour commencer à scanner	Zaloguj się, aby rozpocząć skanowanie	Login
Sign in with Grand Shooting	Sign in with Grand Shooting	Se connecter avec Grand Shooting	Zaloguj się przez Grand Shooting	Login
Batches	Batches	Batchs	Partie	Scan
Browse boxes and shelves. Scan a batch barcode to open it.	Browse boxes and shelves. Scan a batch barcode to open it.	Parcourez vos cartons et étagères. Scannez le code d'un batch pour l'ouvrir.	Przeglądaj kartony i półki. Zeskanuj kod kreskowy partii, aby ją otworzyć.	Scan
Code (barcode)	Code (barcode)	Code (barcode)	Kod (kreskowy)	Scan
Configure your API key in Settings to enable lookups.	Configure your API key in Settings to enable lookups.	Renseigne ta clé API dans les Paramètres pour activer les recherches.	Skonfiguruj klucz API w Ustawieniach, aby umożliwić wyszukiwanie.	Scan
Create	Create	Créer	Utwórz	Scan
EAN not found in catalog.	EAN not found in catalog.	EAN absent du catalogue.	Nie znaleziono kodu EAN w katalogu.	Scan
Find a product manually by ref, label, sku or ean.	Find a product manually by ref, label, sku or ean.	Trouve un produit manuellement par ref, libellé, sku ou ean.	Wyszukaj produkt ręcznie po ref, etykiecie, SKU lub EAN.	Scan
Label	Label	Libellé	Etykieta	Scan
Look up a reference and update its stock item status.	Look up a reference and update its stock item status.	Recherche une référence et mets à jour le statut de ses échantillons.	Wyszukaj referencję i zaktualizuj status pozycji magazynowej.	Scan
New batch	New batch	Nouveau batch	Nowa partia	Scan
Optional. Tap the wand to generate a random EAN-13 you can print and stick on the box.	Optional. Tap the wand to generate a random EAN-13 you can print and stick on the box.	Optionnel. Touchez la baguette pour générer un EAN-13 aléatoire à imprimer et coller sur la boîte.	Opcjonalnie. Dotknij różdżki, aby wygenerować losowy EAN-13 do wydrukowania i naklejenia na pudełko.	Scan
Other…	Other…	Autre…	Inne…	Scan
Register products	Register products	Enregistrer des produits	Zarejestruj produkty	Scan
